DOB,Surname,GivenName,Gender,PostCode,
07/08/2015,NOLAN,Stef,Male,DN15 6HJ,
15/05/2013,MANNIS,Lavina,Female,DN15 8TT,
23/08/2010,ASHKENAZI,LIESHETH,Female,DN20 0LQ,
19/12/2019,BARWIAN,FURQAAN,Male,DN16 2NW,
13/02/2022,PECKS,Donald,Male,DN17 1UQ,
19/01/2011,BOYCE,Irma,Female,DN15 8PU,
09/03/2021,DILL,Elisa,Female,DN17 3UG,
03/01/2023,BOWYER,Fancy,Female,DN15 7RY,
31/12/2008,MAKINS,William,Male,DN21 4PX,
19/12/2015,MACKIN,Lucas,Male,DN39 6YL,
25/04/2012,DABNER,Iain,Male,DN20 8HE,
19/07/2020,MICHAEL,JAVEN,Male,DN16 1QN,
19/07/2024,DROHAN,Edmond,Male,DN19 7AD,
06/02/2019,MUIR,Lydia,Female,DN16 1RF,
26/11/2017,MOLDEN,Jodi,Female,DN17 3AN,
05/07/2010,BUXTON,Cindy,Female,DN16 3WE,
06/09/2008,SURAPANANI,PURVA,Female,DN17 1BD,
12/03/2010,CEARNS,Sarah,Female,DN17 1YL,
06/09/2009,SHEEN,Simon,Male,DN20 0QP,
19/07/2013,CH'ANG,SHENG,Male,DN17 1RQ,
01/01/2023,HARKIN,Doreen,Female,DN17 1UD,
06/06/2023,DENTON,Ena,Female,DN18 5PP,
17/05/2012,HOBSON,Sven,Male,DN17 1EW,
21/11/2009,SHANLEY,DRUMMOND,Male,DN17 2BG,
11/09/2020,DINGLE,Lauren,Female,DN20 8QA,
12/02/2011,SUBRAHMANYAM,BASABI,Female,DN15 7DZ,
23/01/2011,NILANI,POOJIT,Male,DN17 1UX,
16/04/2020,JACKS,Lucy,Male,DN21 4PS,
03/10/2016,ANSTEY,Roland,Male,DN16 1EX,
26/12/2021,Evelyn,COLMAN,Female,DN19 7BP,
15/06/2017,HOOLEY,Iris,Female,DN17 3BP,
18/11/2013,SOWDEN,Fredrick,Male,DN20 0EY,
19/07/2021,PATIENCE,TETTY,Female,DN40 3QA,
26/10/2023,WOLF,YARKONA,Female,DN16 2LB,
25/10/2008,TREVELYAN,RHEGED,Male,DN19 7LX,
08/11/2018,MAGIN,Mervyn,Male,DN38 6DL,
23/01/2018,JUDY,OLSBERG,Female,DN15 9HQ,
14/06/2012,HIDE,Bel,Female,DN17 3PN,
24/09/2024,READEN,Abel,Male,DN9 2BP,
22/12/2021,MACKAY,Vicky,Female,DN9 1HA,
12/03/2025,CORNES,Laura,Female,DN17 4LQ,
26/08/2015,DINGLE,Landon,Male,DN38 6JH,
08/02/2010,NAOOMAL,VIKESH,Male,LN7 6JY,
21/07/2011,HILLS,Huw,Male,DN20 9AS,
26/08/2011,THOMAS,Enoch,Male,DN39 6UR,
13/04/2019,LALLY,AMARDEEP,Male,DN16 3RU,
16/06/2009,BRYDEN,Wendy,Female,DN9 1NJ,
14/03/2023,STRAIN,Amos,Male,DN15 9TF,
25/12/2008,BULLEN,Karl,Male,DN17 2TX,
14/09/2012,MAGGI,Marie,Female,DN17 2LD,
12/02/2015,LANGAN,Marian,Female,DN17 1UR,
29/10/2007,VERNON,Nicola,Female,DN15 9JY,
15/05/2010,DIGIN,Alysia,Female,DN15 9XF,
19/11/2023,ORTON,Roy,Male,DN18 5PG,
17/10/2024,DONLEY,Oswald,Male,DN16 2NN,
26/02/2008,HOOTON,Eric,Male,DN18 5LS,
21/02/2018,FIDLER,Antony,Male,DN18 5DT,
23/10/2021,DILLON,May,Female,DN15 6SL,
15/09/2015,NAPIER,Eugene,Male,DN18 6BG,
17/11/2023,KANSAL,NARSIMHA,Male,DN9 1GE,
17/03/2012,HIGSON,Gina,Female,DN15 6RS,
04/07/2024,GARVEY,Hayley,Female,DN20 0QP,
17/02/2012,GREEVY,Ted,Male,DN9 1DR,
06/07/2020,RASTINPOUR,ZULEIKA,Female,DN17 3ET,
20/03/2012,LEEKE,Diane,Female,DN15 8NU,
02/09/2012,LLOYD,Trevor,Male,DN16 2RH,
03/08/2020,HOLMES,Kim,Female,DN15 6RR,
27/08/2012,HAWKER,Anita,Female,DN17 1RD,
18/02/2010,ARDIS,Deanna,Female,DN17 1EJ,
07/10/2020,BRUCE,Melvin,Male,DN17 4EF,
07/05/2011,NATHAN,NAMDEV,Female,DN15 9PT,
02/06/2016,GLUCK,Julian,Male,DN15 7HS,
09/08/2020,CURRY,Peter,Male,DN20 9AP,
08/12/2011,PIPES,Karl,Male,DN9 1PS,
04/02/2024,VOSE,Horace,Male,DN16 3DU,
13/09/2007,JAISIMHA,SHRIRANGA,Male,DN19 7AB,
14/03/2009,Sheri,BROOK,Female,DN16 2EE,
23/11/2012,LEIGH,Clare,Female,DN17 3UW,
26/10/2024,HAMER,Ray,Male,DN17 1YD,
18/02/2010,LOINES,Graham,Male,DN9 2DF,
15/02/2018,BRANDT,Elias,Male,DN19 7QS,
29/06/2011,COOK,David,Male,DN15 9BE,
11/09/2024,GRAHAM,Luke,Male,DN15 9AW,
28/07/2019,HIND,Dolly,Female,DN16 3QY,
04/04/2007,NGAU,EHUANG,Female,DN17 1RG,
17/02/2017,ROTHE,Annabel,Female,DN18 6DD,
07/11/2019,MACK,Amy,Female,DN20 0HS,
10/06/2012,HITCHEN,IMOGEN,Female,DN17 1DN,
27/07/2010,LYON,Thelma,Female,DN17 4DT,
01/08/2021,SWAIN,Max,Male,DN15 0BE,
10/02/2020,NEWNES,Jim,Male,DN17 2NA,
16/04/2015,BROOK,Emilie,Female,DN17 3QS,
14/04/2009,COYNE,Millie,Female,DN38 6EB,
04/12/2015,WARLOW,Mina,Female,DN9 2HY,
03/05/2023,TOBIN,Bob,Male,DN16 3JH,
06/09/2021,LUDLOW,Netta,Female,DN15 0AT,
03/05/2020,MILNER,Mikala,Female,DN20 0PP,
22/12/2010,ZACHARIAH,GEVA,Female,DN19 7SW,
11/09/2022,BEESON,Eunice,Female,DN19 7AD,
11/09/2024,REECE,Megan,Female,DN15 6RQ,
21/08/2014,HAMNET,Deanne,Female,DN19 7LT,
02/01/2016,VIVYAN,Adele,Female,DN15 8EJ,
11/01/2012,TYLER,Sharon,Female,DN17 3UG,
14/06/2022,QUINN,Hannah,Female,DN18 5HY,
08/11/2021,TONER,Joel,Male,DN15 0BH,
04/02/2011,WARRY,Jemima,Female,DN15 7HW,
13/10/2013,POWERS,Alfred,Male,DN20 0AW,
07/01/2012,NOLAN,Gladys,Female,DN15 9QT,
12/12/2023,GIVENS,Isobel,Female,DN15 8JX,
25/01/2021,CROSBY,Judith,Female,DN16 1LJ,
27/03/2016,WEBBER,Eric,Male,DN17 3HU,
30/03/2007,DENTON,Isaac,Male,DN16 3BW,
07/10/2021,KABIR,RANDEEP,Male,DN16 3PG,
19/01/2009,MOSS,Cindy,Female,DN16 1DX,
15/03/2012,BARLOW,David,Male,DN9 1HY,
07/01/2020,ANDREW,Tony,Male,DN19 7JH,
19/10/2012,HAAKE,Evan,Male,DN17 1XT,
18/11/2024,POVAH,Maria,Female,DN15 9XF,
31/07/2008,MART,Maisie,Female,DN20 9EY,
17/01/2016,PASSMAN,MORDIKAI,Male,DN16 1PS,
30/10/2010,DERRY,Matt,Male,DN17 1NA,
14/08/2020,SHEIKH-HASSAN,SHAMAAIL,Female,DN9 2BW,
02/09/2009,LEVEY,Kay,Female,DN17 4JW,
11/08/2019,PETRIE,Howard,Male,DN15 7LQ,
20/04/2020,LEE,Joel,Male,DN17 4EZ,
16/05/2019,BERLINER,TOVIYYAH,Male,DN21 4PG,
19/05/2023,QUINE,Vernon,Male,DN9 2NE,
16/09/2017,HANNAY,Darren,Male,DN18 5BT,
25/11/2020,CATON,Maggie,Female,DN18 6EH,
13/11/2013,PEENEY,Kathy,Female,DN15 7QH,
10/11/2011,CLAY,Doug,Male,DN20 0NX,
06/01/2025,MANGAN,Milly,Female,DN20 8JT,
09/01/2013,GOMERY,Doug,Male,DN17 3BD,
07/05/2021,HARPER,Isobel,Female,DN15 9DE,
14/05/2018,McEWEN,Harry,Male,DN19 7SU,
04/08/2021,GUY,Liddy,Female,DN16 1RN,
30/08/2016,GOMERY,Tommy,Male,DN20 8HL,
23/06/2010,TAIT,Faye,Female,DN16 1PQ,
09/03/2025,SHAIN,Cyril,Male,DN21 4BB,
22/09/2021,KANE,Miriam,Female,DN9 1WA,
17/12/2021,TUN,WEN,Female,DN15 9QN,
21/05/2024,SYKES,Sheila,Female,DN17 2LT,
27/05/2023,SHEWEN,Julius,Male,DN38 6JJ,
28/10/2008,HUSON,Ivor,Male,DN20 0ER,
18/06/2023,VOSE,Luke,Male,DN18 6LD,
03/04/2007,TSUEI,MINZHE,Male,DN15 9QZ,
07/05/2019,BRAHAM,Mabel,Female,DN15 8BX,
14/01/2010,JAMES,Harley,Male,DN16 3SW,
21/02/2015,BOOKER,Jeanne,Female,DN15 7NP,
05/07/2013,DUDSON,Cecil,Male,DN20 9JS,
01/01/2018,PRIEST,Jordan,Male,DN17 1RB,
16/05/2021,SOHAL,SACKMAN,Female,DN15 9NP,
11/06/2024,PARRY,Giles,Male,DN16 2SY,
20/02/2009,KAY,Robin,Male,DN9 2BS,
30/12/2014,SHEWEN,Conrad,Male,DN8 5TH,
21/11/2019,DIGGLE,Alison,Female,DN20 8LW,
06/02/2022,BROOK,Rena,Female,DN17 3AG,
24/06/2007,RONSON,Archie,Male,DN9 1BG,
07/12/2014,KASTRATI,AFEEF,Male,DN20 9NF,
29/05/2020,HAROLD,Glenys,Female,DN9 1LH,
28/11/2020,HEATLEY,CARSON,Male,DN15 9LN,
11/01/2012,BEATTY,Edina,Female,DN20 9JX,
15/03/2018,AYRE,Wesley,Male,DN17 4BD,
15/12/2019,BINKS,Herman,Male,DN17 1RW,
01/07/2010,FEY,Roy,Male,DN19 7SJ,
11/09/2007,LOCK,Bessie,Female,DN15 9HX,
22/11/2019,YORKE,Stacey,Female,DN16 2DG,
21/03/2018,BANTON,Minnie,Female,DN15 6QT,
20/11/2010,WELLS,Julie,Female,DN20 9ND,
30/07/2009,FARMER,Arlene,Female,DN16 3JS,
03/03/2025,NAYLOR,James,Male,DN15 8NU,
03/08/2008,ROWE,Mina,Female,DN16 2EZ,
22/09/2011,MANLEY,Steve,Male,DN20 8HY,
04/07/2009,KEELEY,Lewis,Male,DN15 9EJ,
17/03/2014,CRANE,Philip,Male,DN18 6HN,
21/10/2023,RANCE,Kieran,Male,DN9 2LJ,
13/11/2013,ATLEY,Lance,Male,DN16 2RQ,
31/07/2017,SUDLOW,Paul,Male,DN9 1HN,
27/10/2017,CRAVEN,Moira,Female,DN18 5TR,
16/09/2009,MEAKIN,Lester,Male,DN15 7DZ,
05/06/2009,CRAGAN,Celia,Female,DN15 6DQ,
29/03/2013,MAYOR,Muriel,Female,DN16 2SQ,
22/01/2013,SINKER,Ethel,Female,DN17 1UQ,
08/03/2022,KEEFE,Serena,Female,DN20 8PN,
06/07/2023,CURWEN,Gordon,Male,DN15 6HJ,
03/01/2022,LEACH,Steven,Male,DN15 7LZ,
23/08/2018,HORAN,Sharon,Female,DN21 4BL,
03/09/2017,PEGG,Lynne,Female,DN16 1RW,
16/05/2021,BAXTER,Donald,Male,DN19 7QD,
21/09/2010,GIBNEY,Larry,Male,DN15 9EG,
30/07/2019,DUDSON,Tamsyn,Female,DN17 1XL,
19/05/2010,KHOSROWANI,KALIL,Male,DN20 8DL,
17/02/2016,FLOWER,Dudley,Male,DN20 9NB,
13/09/2020,BRAY,Eugene,Male,DN9 2PF,
02/03/2025,SILK,Tim,Male,DN19 7JE,
03/12/2007,RAWSON,Nelly,Female,DN17 4JA,
03/11/2007,HEGAN,Kate,Female,DN16 2QR,
18/03/2024,CORRIS,Huw,Male,DN17 1DF,
21/09/2022,CORBY,Louise,Female,DN15 7PJ,
17/07/2014,FRIAR,Doug,Male,DN20 8TD,
01/10/2022,AVISON,Abby,Female,DN18 6JH,
01/05/2025,WADE,Edwin,Male,DN9 2PY,
15/04/2007,BEDDAU,CAI,Female,DN15 7UE,
09/05/2010,HUDDY,Betty,Female,DN20 8QD,
03/10/2018,ABELL,MICHEALA,Female,DN20 8EA,
08/10/2010,FREYER,Huw,Male,DN17 4GA,
14/07/2010,McNEAL,Liya,Female,DN16 3PE,
04/07/2014,CARTER,Joel,Male,DN17 1AG,
19/08/2022,GEE,Evelyn,Female,DN16 1NX,
31/10/2011,KIDD,Peter,Male,DN17 2SF,
01/03/2024,LEA,Gerald,Male,DN15 9BA,
16/04/2011,MENARD,Lucy,Female,DN19 7HW,
08/02/2020,GRIGG,Davina,Female,DN17 1LB,
19/02/2015,GORE,Anita,Female,DN15 9AN,
04/05/2022,POWIS,RONDA,Female,DN15 6NS,
05/10/2021,HUNTER,June,Female,DN18 6HE,
05/07/2022,CROWE,Jean,Female,DN19 7JP,
04/07/2013,ABUBAKAR,RAHMA,Female,DN15 8HS,
09/09/2016,SANYUKTA,BHOOMIKA,Female,DN21 4BN,
08/10/2024,NEWTON,Arlene,Female,DN20 0BP,
06/05/2011,KADRI,XAVIERA,Female,DN9 1JR,
20/12/2024,DABNER,Emelia,Female,DN9 2DA,
29/06/2021,EVANS-MURTHA,ANWYL,Male,DN15 7SG,
20/03/2014,BRABEN,Landon,Male,DN17 2ES,
29/04/2023,INSKIP,Stanley,Male,DN20 8AE,
01/06/2009,VIVYAN,Dan,Male,DN20 8LB,
25/10/2024,BRARA,HARJOT,Male,DN17 2XA,
21/10/2015,MELBIN,Miles,Male,DN15 9HT,
27/09/2009,OWINGS,Brett,Male,DN17 2PD,
25/05/2011,PINOCK,Amanda,Female,DN17 1RH,
17/11/2021,WINNE,BRYNN,Female,DN16 3BH,
16/01/2021,TS'AI,YANLIN,Female,DN9 1TD,
16/11/2019,ROBSON,Doris,Female,DN15 7LP,
20/10/2015,RIGBY,Viv,Female,DN20 8DG,
24/12/2020,CASE,Earl,Male,DN15 7EL,
22/02/2010,RAGI,BALRAJ,Female,DN15 8BL,
13/04/2008,KHOSROWANI,THARWA,Female,DN16 3ES,
18/03/2011,NORTON,Cecil,Male,DN17 2PL,
30/01/2023,OMIDIFAR,MASOOD,Male,DN18 5AR,
09/07/2013,BIRD,Cyril,Male,DN20 0HL,
16/11/2017,MURRAY,Sibyl,Female,DN16 1LY,
09/03/2025,MACVAY,Sharon,Female,DN17 1JQ,
28/12/2014,TUAN,YUSHENG,Male,DN17 2RY,
07/04/2011,OHARA,Doreen,Female,DN19 7PJ,
09/10/2022,ARDIS,Verena,Female,DN17 1DQ,
01/07/2011,NEALE,Kylie,Female,DN17 3AE,
17/11/2023,LYNCH,Duncan,Male,DN16 2HF,
01/10/2014,AULAKH,SURINDERJIT,Female,DN18 5HX,
31/12/2021,AL-HESSENAWY,MISKA,Female,DN16 3HR,
07/05/2024,ROHRER,Herman,Male,DN16 2HQ,
10/05/2018,HAMER,Moses,Male,DN18 5DU,
30/01/2025,LAWLER,Nadia,Female,DN15 8JN,
19/02/2025,CHAWLA,ANADJOT,Male,DN17 3NQ,
09/09/2024,MARSH,Doris,Female,DN20 9EX,
15/12/2011,ORANGE,Horton,Male,DN15 8BX,
31/01/2025,GRAY,Fredrick,Male,DN17 1NY,
23/03/2020,CHEN,Marion,Female,DN16 3LD,
11/04/2011,ELMONT,Avril,Female,DN19 7PH,
07/06/2017,DOOLEY,Jack,Male,DN17 4QL,
21/12/2007,MADDEN,Debra,Female,DN16 2NS,
16/02/2022,PARTON,Helena,Female,DN39 6YP,
01/03/2015,SAMOSA,Sheri,Female,DN16 2QP,
16/08/2023,ARDIS,Trevor,Male,DN16 2BJ,
23/02/2016,COLE,Lisa,Female,DN15 8AY,
02/11/2021,MANTRI,ATMAN,Male,DN17 1HY,
14/03/2020,COE,Emilia,Female,DN20 0LJ,
22/04/2010,COOKER,Nancie,Female,DN18 6EF,
07/06/2021,FAHY,Maisie,Female,DN19 7SG,
25/04/2017,LUI,HUIZHONG,Female,DN17 3NU,
18/09/2011,LUYA,Graham,Male,DN17 3TT,
12/04/2013,AL-SUWAIDI,HIMMA,Female,DN15 8UL,
08/12/2013,ROTHE,Gerda,Female,DN15 8AQ,
12/08/2012,DILLON,Randal,Male,DN17 2LU,
04/01/2015,LUPTON,Winnie,Female,DN15 9PY,
20/01/2025,RILEY,Tamsyn,Female,DN17 2LA,
20/11/2007,SKYRME,Shaun,Male,DN17 1DR,
30/03/2013,NIVEDITA,NANDITA,Female,DN15 9LG,
02/11/2014,SAWHNEY,BHAJAN,Female,DN17 4LR,
07/04/2013,SYBIL,Maggie,Female,DN9 2AE,
26/05/2011,MANNIS,Adam,Male,DN21 4NX,
24/03/2018,NAGI,JAPBIR,Female,DN15 9RZ,
15/02/2014,NEWNES,Victor,Male,DN39 6RP,
01/09/2024,HAYNES,Thomas,Male,DN16 2RA,
16/08/2024,CRUTE,Helen,Female,DN15 9BS,
29/11/2007,KIBBEY,Greg,Male,DN16 2DJ,
10/08/2023,EDGE,Lucien,Male,DN16 3FE,
17/07/2015,SELBY,Ellen,Female,DN18 5FG,
01/07/2007,QUICK,Maggie,Female,DN15 7SF,
14/09/2011,PEPPER,Polly,Female,DN19 7PP,
31/05/2014,PRIEST,Amos,Male,DN17 4DP,
16/09/2021,KEITH,Joy,Female,DN17 2RQ,
04/09/2011,MITTON,Kurt,Male,DN9 1TT,
06/02/2010,SALMO,Shaun,Male,DN18 6BW,
02/04/2020,HEANEY,Gary,Male,DN20 8DD,
26/09/2024,HAWKER,Amanda,Female,DN17 3JR,
04/08/2010,DUTTON,Pamela,Female,DN16 3UJ,
03/07/2009,JORIE,Amy,Female,DN38 6HL,
11/05/2009,BUCCIERO,PAULETTA,Female,DN20 9HU,
27/01/2010,VICARS,Verena,Female,DN16 2AP,
01/12/1960,XDJ-JUN-ALLOC-FIFTY,Ossie,Ricky
